worker	config	task	max_steps	status	successes	total	success_rate	result
0	demo_clean	place_object_scale	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json
0	demo_clean	place_phone_stand	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json
0	demo_clean	place_shoe	500	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/place_shoe/client/stseed-10000/metrics/place_shoe/res.json
0	demo_clean	put_bottles_dustbin	1700	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/put_bottles_dustbin/client/stseed-10000/metrics/put_bottles_dustbin/res.json
0	demo_clean	put_object_cabinet	700	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json
0	demo_clean	rotate_qrcode	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json
0	demo_clean	scan_object	500	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/scan_object/client/stseed-10000/metrics/scan_object/res.json
0	demo_clean	stack_blocks_three	1200	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_blocks_three/client/stseed-10000/metrics/stack_blocks_three/res.json
0	demo_clean	stack_blocks_two	800	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json
0	demo_clean	stack_bowls_three	1200	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stack_bowls_three/client/stseed-10000/metrics/stack_bowls_three/res.json
0	demo_clean	stamp_seal	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_clean/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json
0	demo_randomized	beat_block_hammer	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/beat_block_hammer/client/stseed-10000/metrics/beat_block_hammer/res.json
0	demo_randomized	blocks_ranking_rgb	1200	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/blocks_ranking_rgb/client/stseed-10000/metrics/blocks_ranking_rgb/res.json
0	demo_randomized	blocks_ranking_size	1200	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/blocks_ranking_size/client/stseed-10000/metrics/blocks_ranking_size/res.json
0	demo_randomized	dump_bin_bigbin	600	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/dump_bin_bigbin/client/stseed-10000/metrics/dump_bin_bigbin/res.json
0	demo_randomized	handover_block	800	complete	1	10	0.1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/handover_block/client/stseed-10000/metrics/handover_block/res.json
0	demo_randomized	handover_mic	600	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/handover_mic/client/stseed-10000/metrics/handover_mic/res.json
0	demo_randomized	hanging_mug	900	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/hanging_mug/client/stseed-10000/metrics/hanging_mug/res.json
0	demo_randomized	move_stapler_pad	400	complete	6	10	0.6	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/move_stapler_pad/client/stseed-10000/metrics/move_stapler_pad/res.json
0	demo_randomized	open_laptop	700	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/open_laptop/client/stseed-10000/metrics/open_laptop/res.json
0	demo_randomized	open_microwave	1500	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/open_microwave/client/stseed-10000/metrics/open_microwave/res.json
0	demo_randomized	pick_diverse_bottles	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/pick_diverse_bottles/client/stseed-10000/metrics/pick_diverse_bottles/res.json
0	demo_randomized	place_a2b_left	400	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_a2b_left/client/stseed-10000/metrics/place_a2b_left/res.json
0	demo_randomized	place_a2b_right	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_a2b_right/client/stseed-10000/metrics/place_a2b_right/res.json
0	demo_randomized	place_bread_basket	700	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_bread_basket/client/stseed-10000/metrics/place_bread_basket/res.json
0	demo_randomized	place_bread_skillet	500	complete	6	10	0.6	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_bread_skillet/client/stseed-10000/metrics/place_bread_skillet/res.json
0	demo_randomized	place_burger_fries	500	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_burger_fries/client/stseed-10000/metrics/place_burger_fries/res.json
0	demo_randomized	place_can_basket	700	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_can_basket/client/stseed-10000/metrics/place_can_basket/res.json
0	demo_randomized	place_cans_plasticbox	800	complete	10	10	1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_cans_plasticbox/client/stseed-10000/metrics/place_cans_plasticbox/res.json
0	demo_randomized	place_dual_shoes	600	complete	1	10	0.1	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_dual_shoes/client/stseed-10000/metrics/place_dual_shoes/res.json
0	demo_randomized	place_fan	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_fan/client/stseed-10000/metrics/place_fan/res.json
0	demo_randomized	place_mouse_pad	400	complete	5	10	0.5	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_mouse_pad/client/stseed-10000/metrics/place_mouse_pad/res.json
0	demo_randomized	place_object_basket	700	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_object_basket/client/stseed-10000/metrics/place_object_basket/res.json
0	demo_randomized	place_object_scale	400	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json
0	demo_randomized	place_phone_stand	400	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json
0	demo_randomized	place_shoe	500	complete	6	10	0.6	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/place_shoe/client/stseed-10000/metrics/place_shoe/res.json
0	demo_randomized	put_bottles_dustbin	1700	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/put_bottles_dustbin/client/stseed-10000/metrics/put_bottles_dustbin/res.json
0	demo_randomized	put_object_cabinet	700	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json
0	demo_randomized	rotate_qrcode	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json
0	demo_randomized	scan_object	500	complete	8	10	0.8	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/scan_object/client/stseed-10000/metrics/scan_object/res.json
0	demo_randomized	stack_blocks_three	1200	excluded_max_steps	0	0	0	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/stack_blocks_three/client/stseed-10000/metrics/stack_blocks_three/res.json
0	demo_randomized	stack_blocks_two	800	complete	7	10	0.7	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/stack_blocks_two/client/stseed-10000/metrics/stack_blocks_two/res.json
0	demo_randomized	stack_bowls_three	1200	partial_stopped	2	5	0.4	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/stack_bowls_three/client/stseed-10000/metrics/stack_bowls_three/res.json
0	demo_randomized	stamp_seal	400	complete	9	10	0.9	/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/base_none_remaining33_clean_random_10_a116e48/demo_randomized/stamp_seal/client/stseed-10000/metrics/stamp_seal/res.json
