suite,task_id,trial_id,binary_success,binary_elapsed_seconds,binary_executed_steps,rms_success,rms_elapsed_seconds,rms_executed_steps,l1_mass_success,l1_mass_elapsed_seconds,l1_mass_executed_steps
libero_object,4,0,0,147.26869507192168,480,0,147.57228297006804,480,1,50.29325997992419,160
libero_object,4,1,0,147.37254851602484,480,0,147.48547227692325,480,0,147.40737190993968,480
libero_object,4,2,0,147.5113386500161,480,0,147.4404580600094,480,1,47.317805679980665,149
libero_object,4,3,0,147.36814698402304,480,0,147.44616738392506,480,0,147.57260126492474,480
libero_object,4,4,0,147.3569345769938,480,0,147.54285981995054,480,0,147.6574768619612,480
libero_object,5,0,0,147.3437578160083,480,1,45.63223166402895,144,1,44.701287887990475,140
libero_object,5,1,0,147.2932198740309,480,1,47.220094396034256,148,1,43.06860889797099,136
libero_object,5,2,0,147.31927105493378,480,1,45.305401388090104,143,1,45.55076201399788,144
libero_object,5,3,0,147.4231673439499,480,1,54.868993252981454,174,1,48.14655959699303,152
libero_object,5,4,0,147.241812856053,480,0,147.6463233960094,480,1,46.134198170970194,145
libero_object,6,0,0,147.2201100810198,480,1,56.73210861394182,180,1,68.5948678230634,219
libero_object,6,1,0,147.29834773694165,480,0,147.23967821197584,480,0,147.6226805599872,480
libero_object,6,2,0,147.28376522194594,480,0,147.47183358098846,480,1,65.01883180299774,208
libero_object,6,3,0,147.3871583280852,480,0,147.3080983950058,480,0,147.90456344292033,480
libero_object,6,4,0,147.30224763101432,480,0,147.40975571109448,480,0,147.5764541629469,480
libero_object,7,0,0,147.3168847298948,480,0,147.5482614870416,480,0,147.3321228249697,480
