source_kind,source_path,mode,config,task,successes,trials,initial_eval_seed,episode_seeds,validation
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_cans_plasticbox/client/stseed-10000/metrics/place_cans_plasticbox/res.json,FBFM,demo_randomized,place_cans_plasticbox,10,10,10000,10000;10001;10002;10003;10005;10006;10007;10009;10010;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_container_plate/client/stseed-10000/metrics/place_container_plate/res.json,FBFM,demo_randomized,place_container_plate,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_dual_shoes/client/stseed-10000/metrics/place_dual_shoes/res.json,FBFM,demo_randomized,place_dual_shoes,1,10,10000,10000;10001;10003;10004;10007;10011;10012;10014;10016;10018,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_empty_cup/client/stseed-10000/metrics/place_empty_cup/res.json,FBFM,demo_randomized,place_empty_cup,10,10,10000,10000;10001;10002;10003;10004;10005;10006;10008;10012;10013,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_fan/client/stseed-10000/metrics/place_fan/res.json,FBFM,demo_randomized,place_fan,9,10,10000,10000;10002;10003;10004;10005;10006;10007;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_mouse_pad/client/stseed-10000/metrics/place_mouse_pad/res.json,FBFM,demo_randomized,place_mouse_pad,5,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10008;10009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_basket/client/stseed-10000/metrics/place_object_basket/res.json,FBFM,demo_randomized,place_object_basket,7,10,10000,10000;10001;10002;10003;10004;10005;10006;10007;10009;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_scale/client/stseed-10000/metrics/place_object_scale/res.json,FBFM,demo_randomized,place_object_scale,7,10,10000,10000;10001;10002;10003;10004;10006;10007;10009;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_object_stand/client/stseed-10000/metrics/place_object_stand/res.json,FBFM,demo_randomized,place_object_stand,9,10,10000,10001;10002;10003;10004;10005;10006;10007;10008;10009;10010,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_phone_stand/client/stseed-10000/metrics/place_phone_stand/res.json,FBFM,demo_randomized,place_phone_stand,8,10,10000,10000;10003;10004;10006;10007;10009;10011;10013;10014;10016,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/place_shoe/client/stseed-10000/metrics/place_shoe/res.json,FBFM,demo_randomized,place_shoe,5,10,10000,10000;10001;10003;10004;10006;10007;10009;10010;10011;10012,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/press_stapler/client/stseed-10000/metrics/press_stapler/res.json,FBFM,demo_randomized,press_stapler,10,10,10000,10000;10001;10002;10005;10006;10008;10009;10010;10012;10014,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/put_object_cabinet/client/stseed-10000/metrics/put_object_cabinet/res.json,FBFM,demo_randomized,put_object_cabinet,7,10,10000,10051;10057;10085;10104;20035;20045;30003;30005;30006;30009,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/rotate_qrcode/client/stseed-10000/metrics/rotate_qrcode/res.json,FBFM,demo_randomized,rotate_qrcode,9,10,10000,10000;10001;10002;10003;10005;10006;10007;10008;10009;10011,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/scan_object/client/stseed-10000/metrics/scan_object/res.json,FBFM,demo_randomized,scan_object,8,10,10000,10005;10006;10010;10017;10018;10023;10024;10026;10027;10033,ok
canonical,/mnt/project_eai_hs/zrm2/FBFM/wam/lingbot-va/robotwin_outputs/feedback_multinode_80cells_clean30_random50_10_a116e48/demo_randomized/shake_bottle/client/stseed-10000/metrics/shake_bottle/res.json,FBFM,demo_randomized,shake_bottle,10,10,10000,10000;10001;10002;10003;10006;10007;10008;10010;10011;10012,ok
