unit,task,trial_id,condition,normalized_action_channel,probe_count,channel_rms
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,11,2,0.0005149218923179433
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,12,2,0.0005632176180370152
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,13,2,0.0011788152041845024
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,28,2,0.0008457279182039201
Pick / T20,pick_diverse_bottles,20,same_cache_repeat_floor,29,2,0.004136785166338086
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,0,2,0.020456309313885868
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,1,2,0.01468571461737156
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,2,2,0.011756943073123693
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,3,2,0.004718391865026206
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,4,2,0.003744824673049152
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,5,2,0.004739901516586542
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,6,2,0.00231057166820392
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,7,2,0.017843564972281456
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,8,2,0.018103507347404957
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,9,2,0.01044608186930418
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,10,2,0.01515109813772142
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,11,2,0.005081753479316831
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,12,2,0.002112305141054094
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,13,2,0.005987503915093839
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,28,2,0.0018222904182039201
Pick / T21,pick_diverse_bottles,21,rtc_vs_fbfm_cache_switch,29,2,0.003072523744776845
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,0,2,0.0005124186427565292
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,1,2,0.0009552640549372882
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,2,2,0.0013476640451699495
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,3,2,0.000625294676865451
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,4,2,0.00033217067539226264
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,5,2,0.000378541270038113
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,6,2,0.0008457279182039201
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,7,2,0.0018222904182039201
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,8,2,0.0010499926283955574
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,9,2,0.0014365389361046255
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,10,2,0.0010863012284971774
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,11,2,0.00040343223372474313
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,12,2,0.0004488413978833705
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,13,2,0.00048828125
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,28,2,0.0013340091682039201
Pick / T21,pick_diverse_bottles,21,same_cache_repeat_floor,29,2,0.003072523744776845
