task,trial_id,method,source_wave_id,realized_wave_id,one_step_latent_mse,cosine_similarity,selected_count,strictly_paired_initial_history,comparison_scope
pick_diverse_bottles,21,FBFM,7,8,0.8476032018661499,0.5325326323509216,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,8,9,0.8963716626167297,0.5230790376663208,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,9,10,0.7900872230529785,0.5713549852371216,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,10,11,0.8682073354721069,0.5323888659477234,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,11,12,0.9678304195404052,0.4889481365680694,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,12,13,1.0212353467941284,0.4488890171051025,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,13,14,0.809581458568573,0.5366724729537964,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,14,15,0.8977399468421936,0.4845030009746551,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,15,16,1.1640381813049316,0.3919325768947601,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,16,17,1.1652251482009888,0.3568850755691528,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,17,18,1.4337899684906006,0.2909982800483703,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,18,19,0.941638708114624,0.4731108546257019,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,19,20,1.5995012521743774,0.3059089481830597,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,20,21,1.435489296913147,0.2777661979198456,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,21,22,1.1077874898910522,0.3836297988891601,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,22,23,0.9324904680252076,0.4756405353546142,23040,0,descriptive_own_trajectory
pick_diverse_bottles,21,FBFM,23,24,0.981421947479248,0.43911874294281,23040,0,descriptive_own_trajectory
