denoising_solver_step,independent_units,mean_velocity_rms,min_unit_velocity_rms,max_unit_velocity_rms,condition
20,4,0.0122224676888436,0.0078240120783448,0.0162279023788869,rtc_vs_fbfm_cache_switch
21,4,0.0123045399086549,0.0075815548188984,0.015983048826456,rtc_vs_fbfm_cache_switch
22,4,0.0120587259880267,0.0077335604000836,0.0154216503724455,rtc_vs_fbfm_cache_switch
23,4,0.0124168063048273,0.0075975195504724,0.0160850146785378,rtc_vs_fbfm_cache_switch
24,4,0.0128630063845776,0.0080245479475706,0.0163084063678979,rtc_vs_fbfm_cache_switch
25,4,0.0127927429857663,0.0079223255161196,0.0165704316459596,rtc_vs_fbfm_cache_switch
26,4,0.0128110189107246,0.0084266338963061,0.0163591494783759,rtc_vs_fbfm_cache_switch
27,4,0.013446097029373,0.0083251325413584,0.0170237338170409,rtc_vs_fbfm_cache_switch
28,4,0.0133926993003115,0.0084829935804009,0.0170078920200467,rtc_vs_fbfm_cache_switch
29,4,0.0138448111829347,0.0089604656677693,0.0174694522283971,rtc_vs_fbfm_cache_switch
30,4,0.0140041667036712,0.0091807539574801,0.0176762328483164,rtc_vs_fbfm_cache_switch
31,4,0.0139479345525614,0.0090417556930333,0.0175581257790327,rtc_vs_fbfm_cache_switch
32,4,0.014320996007882,0.0092399101704359,0.0180269018746912,rtc_vs_fbfm_cache_switch
33,4,0.0146133552771061,0.0098301386460661,0.018532529938966,rtc_vs_fbfm_cache_switch
34,4,0.0151617798255756,0.0104006119072437,0.0190238300710916,rtc_vs_fbfm_cache_switch
35,4,0.0154916972387582,0.0100631308741867,0.0197069812566041,rtc_vs_fbfm_cache_switch
36,4,0.0159966956125572,0.0111526721157133,0.0202752482146024,rtc_vs_fbfm_cache_switch
37,4,0.0159164920914918,0.0114609715528786,0.0199915757402777,rtc_vs_fbfm_cache_switch
38,4,0.017029519774951,0.0125231789425015,0.0215761810541152,rtc_vs_fbfm_cache_switch
39,4,0.0174664860824123,0.0131542282178998,0.0215217117220163,rtc_vs_fbfm_cache_switch
40,4,0.018326056539081,0.0133385066874325,0.0226336335763335,rtc_vs_fbfm_cache_switch
41,4,0.0193003974854946,0.0143705583177506,0.0230957912281155,rtc_vs_fbfm_cache_switch
42,4,0.0200509068090468,0.0162317329086363,0.0240398459136486,rtc_vs_fbfm_cache_switch
43,4,0.0216638890560716,0.0190016804262995,0.024914763867855,rtc_vs_fbfm_cache_switch
44,4,0.0241831666789948,0.0193813573569059,0.0275423387065529,rtc_vs_fbfm_cache_switch
45,4,0.0269057480618357,0.022903773933649,0.0304419454187154,rtc_vs_fbfm_cache_switch
46,4,0.0313934164587408,0.0264798607677221,0.0362771358340978,rtc_vs_fbfm_cache_switch
47,4,0.0403384389355778,0.0371513552963733,0.0433521177619695,rtc_vs_fbfm_cache_switch
48,4,0.0553649039939045,0.0464570298790931,0.0608009323477745,rtc_vs_fbfm_cache_switch
49,4,0.1024438021704554,0.0927861221134662,0.1149266548454761,rtc_vs_fbfm_cache_switch
50,4,0.064381658565253,0.0517831053584814,0.0826736111193895,rtc_vs_fbfm_cache_switch
0,4,0.0,0.0,0.0,same_cache_repeat_floor
1,4,0.0011673435219563,0.0,0.0018039102433249,same_cache_repeat_floor
2,4,0.0012614037259481,0.0,0.0018610093975439,same_cache_repeat_floor
3,4,0.0016828532679937,0.0,0.0036311720032244,same_cache_repeat_floor
4,4,0.0031197157222777,0.0029510031454265,0.0034670050954446,same_cache_repeat_floor
5,4,0.0031608521239832,0.0029857652261853,0.0033018910326063,same_cache_repeat_floor
6,4,0.0035454554017633,0.0031500668264925,0.0038300633896142,same_cache_repeat_floor
7,4,0.0033434021752327,0.0025625325506553,0.0037980681518092,same_cache_repeat_floor
8,4,0.0032909865840338,0.003074865671806,0.0037601265357807,same_cache_repeat_floor
9,4,0.0034725386940408,0.0033166229259222,0.0037498719757422,same_cache_repeat_floor
10,4,0.0035662008158396,0.0034037707373499,0.0037272886838763,same_cache_repeat_floor
11,4,0.0033547451021149,0.0030475422972813,0.0036458369577303,same_cache_repeat_floor
12,4,0.0033688466937746,0.0030457620741799,0.0036001015687361,same_cache_repeat_floor
13,4,0.0031821324955672,0.0028011031681671,0.0035788825480267,same_cache_repeat_floor
14,4,0.0034452489926479,0.0029184834565967,0.0039180681342259,same_cache_repeat_floor
15,4,0.0035270823573227,0.0032116126967594,0.0037519061006605,same_cache_repeat_floor
